id,host_response_rate,host_is_superhost,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,state,country_code,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,reviews_per_month,is_success
17297,1.0,0,1,Bedford-Stuyvesant,Brooklyn,NY,US,Entire home/apt,12,1.0,3.0,6.0,Real Bed,21,1.8,2.0,0.8,4,0.2,5,60,157,54,80.0,8.0,7.0,9.0,9.0,8.0,8.0,1,0,0.02,0,0,0.68,1
5238,0.93,1,1,Chinatown,Manhattan,NY,US,Entire home/apt,3,1.0,1.0,2.0,Real Bed,27,1.2,0.0,0.4,2,0.1,1,1125,279,150,93.0,9.0,9.0,10.0,10.0,9.0,9.0,0,0,0.02,0,0,1.34,1
17298,1.0,0,1,Bedford-Stuyvesant,Brooklyn,NY,US,Entire home/apt,6,1.0,3.0,5.0,Real Bed,27,1.8,2.0,0.8,4,0.2,5,100,158,35,86.0,9.0,8.0,10.0,9.0,8.0,9.0,1,0,0.02,0,0,0.44,1
17299,1.0,0,1,Bedford-Stuyvesant,Brooklyn,NY,US,Entire home/apt,8,1.0,3.0,5.0,Real Bed,21,1.8,2.0,0.8,4,0.2,30,100,155,38,82.0,8.0,8.0,10.0,9.0,8.0,8.0,1,0,0.02,0,0,0.44,1
5803,1.0,1,1,South Slope,Brooklyn,NY,US,Private room,2,1.0,1.0,0.0,Real Bed,37,0.89,2.0,0.64,1,0.18,4,15,338,161,93.0,9.0,9.0,10.0,10.0,10.0,9.0,0,0,0.02,1,0,1.39,1
17693,1.0,1,0,Washington Heights,Manhattan,NY,US,Private room,2,1.0,1.0,1.0,Real Bed,19,0.65,1.5,0.4,1,0.4,2,28,339,35,97.0,10.0,10.0,10.0,10.0,9.0,10.0,1,0,0.02,0,0,1.56,1
6021,0.8,0,0,Upper West Side,Manhattan,NY,US,Private room,1,1.0,1.0,1.0,Real Bed,17,0.85,2.0,0.8,1,0.4,2,730,340,97,92.0,9.0,10.0,9.0,9.0,9.0,9.0,0,0,0.02,0,0,0.84,1
17747,1.0,1,1,Clinton Hill,Brooklyn,NY,US,Private room,2,1.0,1.0,1.0,Real Bed,31,1.05,0.0,0.37,1,0.35,2,365,329,90,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0,0.02,0,0,0.85,1
6090,1.0,1,1,West Village,Manhattan,NY,US,Entire home/apt,1,1.0,1.0,1.0,Real Bed,28,1.75,5.0,1.0,1,0.1,90,365,188,26,97.0,10.0,9.0,9.0,10.0,10.0,9.0,0,0,0.02,0,0,0.23,1
18127,0.88,0,1,East Village,Manhattan,NY,US,Entire home/apt,2,1.0,1.0,1.0,Real Bed,28,1.9,5.0,1.0,1,0.0,5,30,236,20,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0.02,0,0,0.2,1
18590,1.0,1,1,Fort Greene,Brooklyn,NY,US,Private room,2,2.5,1.0,1.0,Real Bed,44,0.95,0.0,0.85,2,0.5,3,30,126,132,97.0,10.0,10.0,10.0,9.0,9.0,10.0,0,0,0.02,1,1,1.27,1
18764,1.0,1,1,Williamsburg,Brooklyn,NY,US,Private room,4,1.0,2.0,2.0,Real Bed,28,1.45,0.0,0.79,2,0.14,3,90,316,58,89.0,9.0,9.0,10.0,10.0,9.0,9.0,1,0,0.02,1,1,0.55,1
7322,1.0,1,1,Chelsea,Manhattan,NY,US,Private room,3,1.0,1.0,1.0,Real Bed,40,1.4,0.0,0.0,2,0.35,1,180,0,248,96.0,9.0,10.0,10.0,10.0,10.0,9.0,0,0,0.02,1,1,2.17,1
7726,1.0,1,0,Crown Heights,Brooklyn,NY,US,Entire home/apt,3,1.0,1.0,1.0,Real Bed,34,0.99,5.0,0.5,3,0.5,3,730,179,17,95.0,10.0,9.0,10.0,10.0,10.0,10.0,1,0,0.01,0,0,4.59,1
8024,1.0,0,1,Park Slope,Brooklyn,NY,US,Private room,4,3.0,1.0,2.0,Real Bed,38,1.3,0.0,0.1,2,0.3,2,90,352,119,93.0,9.0,9.0,9.0,10.0,10.0,9.0,0,0,0.01,0,1,1.08,1
19169,1.0,0,1,Lower East Side,Manhattan,NY,US,Entire home/apt,4,1.0,2.0,3.0,Real Bed,26,2.85,5.0,1.0,2,0.25,5,1125,230,66,87.0,9.0,9.0,9.0,9.0,10.0,8.0,0,0,0.02,0,1,0.63,1
19282,1.0,0,1,Flatbush,Brooklyn,NY,US,Entire home/apt,4,2.0,1.0,3.0,Real Bed,21,1.0,1.0,1.0,4,0.2,3,60,0,12,93.0,10.0,10.0,10.0,10.0,9.0,9.0,1,0,0.01,0,0,0.12,1
19319,1.0,0,1,Lower East Side,Manhattan,NY,US,Private room,1,1.0,1.0,2.0,Real Bed,28,0.92,3.0,0.5,1,0.15,30,1125,326,92,98.0,10.0,10.0,10.0,10.0,9.0,10.0,0,0,0.02,0,0,0.89,1
