host_is_superhost,host_identity_verified,bathrooms,bedrooms,beds,bed_type,amenities,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_365,instant_bookable,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,neighbourhood,room
0,0,1.0,1.0,1.0,4,38,31,0.0,0.15,1,0.05,2,365,269,0,0,3,0,1,0,1
1,1,1.0,1.0,1.0,4,27,89,5.0,0.75,1,0.25,3,21,1,0,0,4,0,0,4,1
1,1,1.0,1.0,1.0,4,32,59,0.0,0.0,1,0.1,2,14,1,1,0,4,1,1,3,1
1,1,1.0,1.0,1.0,4,20,249,2.99,1.5,2,0.5,2,1125,253,0,0,4,0,0,4,2
0,0,1.0,1.0,1.0,4,31,30,0.0,0.15,1,0.05,2,365,328,0,0,3,0,1,0,1
1,0,1.0,1.0,1.0,4,22,160,0.0,0.75,2,0.25,3,30,6,1,0,3,0,0,3,2
1,1,1.0,1.0,2.0,4,20,135,2.0,0.73,2,0.18,5,30,243,0,0,3,1,0,3,2
1,1,1.0,1.0,1.0,4,34,70,2.0,0.5,1,0.0,3,10,160,0,0,3,0,0,3,1
0,0,1.0,1.0,1.0,4,21,83,2.0,0.0,2,0.1,1,30,39,0,0,3,0,0,4,1
0,0,1.0,1.0,1.0,4,31,39,2.0,0.2,1,0.35,1,21,365,0,0,3,0,0,3,1
1,0,1.0,1.0,1.0,4,35,123,1.5,0.39,1,0.3,1,30,320,0,0,3,1,1,4,1
0,1,0.0,2.0,2.0,4,26,135,0.0,1.25,3,0.0,1,1124,48,0,0,4,1,1,3,2
0,1,1.0,1.0,1.0,4,22,55,1.5,0.15,1,0.1,2,365,304,0,0,3,0,0,2,1
0,1,1.0,1.0,1.0,4,12,57,1.5,0.15,1,0.1,2,365,365,0,0,3,0,0,2,1
0,1,1.0,2.0,1.0,4,5,165,2.0,1.0,4,0.15,30,730,365,0,0,3,0,0,2,2
0,1,2.0,4.0,6.0,4,11,265,5.0,1.5,6,0.25,30,730,365,0,0,3,0,0,2,2
0,1,1.0,1.0,1.0,4,24,95,3.5,0.7,1,0.15,4,30,97,0,0,3,0,0,3,2
1,1,1.0,1.0,1.0,4,20,100,0.0,0.55,3,1.0,3,29,336,0,0,3,0,0,3,1
0,1,1.0,1.0,2.0,4,13,114,5.0,0.6,2,0.5,3,30,0,0,0,3,0,0,4,2
1,1,1.0,1.0,1.0,4,29,68,1.0,0.3,1,0.15,2,75,37,0,0,3,1,0,4,1
0,1,2.0,2.0,3.0,4,29,239,5.0,1.1,1,0.0,25,70,177,0,0,3,0,0,4,2
0,0,1.0,1.0,1.0,4,16,175,10.2,1.0,1,0.0,2,20,78,0,0,3,0,1,3,2
0,0,1.0,2.0,2.0,4,19,111,2.0,0.85,2,0.25,10,720,327,0,0,3,0,0,4,2
0,0,1.0,2.0,2.0,4,17,135,2.0,0.6,4,0.15,6,365,242,1,0,4,0,0,4,2
0,0,1.0,1.0,3.0,4,8,150,3.0,1.0,3,0.5,2,360,315,0,0,3,0,0,3,2
1,1,1.0,1.0,1.0,4,34,190,3.0,0.8,3,0.35,3,60,289,0,0,3,1,1,3,2
0,1,1.0,2.0,4.0,4,21,200,2.5,0.5,4,0.15,5,30,134,0,0,4,0,0,3,2
0,1,1.5,1.0,3.0,4,26,175,2.0,1.0,2,0.4,4,365,364,0,0,3,0,0,3,1
0,1,1.0,1.0,1.0,4,39,124,7.5,1.2,1,0.0,28,180,309,1,0,3,0,0,4,2
0,0,1.0,1.0,1.0,4,21,67,0.0,0.4,1,0.16,3,180,314,1,0,3,0,0,4,1
0,0,1.0,2.0,2.0,4,13,195,10.0,1.0,1,0.0,3,30,285,1,0,3,0,0,4,2
0,1,1.0,2.0,4.0,4,18,145,2.5,0.75,2,0.25,3,21,48,0,0,4,1,1,3,2
0,0,1.0,1.0,2.0,4,25,195,5.0,0.8,2,0.2,11,200,325,0,0,5,0,0,4,2
1,1,1.0,3.0,5.0,4,26,250,5.0,1.0,4,0.5,2,60,288,1,0,4,0,0,3,2
1,0,1.0,1.0,2.0,4,23,130,5.0,1.0,1,0.0,7,90,180,0,0,3,0,0,3,2
0,1,1.0,1.0,1.0,4,11,125,5.0,1.0,2,0.0,3,30,315,0,0,3,0,0,3,1
0,1,1.0,1.0,3.0,4,23,212,2.75,1.2,1,0.0,21,30,62,0,0,4,0,0,4,2
1,1,1.0,3.0,3.0,4,39,575,20.0,1.5,6,1.0,2,30,329,0,0,3,1,1,4,2
0,1,1.0,1.0,1.0,4,21,150,10.0,0.5,2,0.3,21,365,75,0,0,3,1,1,4,2
1,0,1.0,1.0,1.0,4,32,250,3.0,0.9,2,3.0,2,300,364,0,0,3,0,0,3,2
1,1,1.0,1.0,1.0,4,13,65,0.0,0.85,1,0.25,15,100,129,0,0,4,1,0,4,1
0,1,2.0,2.0,3.0,4,23,185,5.0,0.77,2,0.39,2,730,337,0,0,3,0,0,3,2
0,0,1.0,1.0,1.0,4,8,70,3.0,0.5,1,0.0,27,28,363,0,0,3,0,0,2,1
